Alpha	Cl	Cd	Cdp	Cm	Top_Xtr	Bot_Xtr
3	0.5502	0.02038	0.00993	-0.0533	0.7408	1
3.25	0.5783	0.02048	0.01007	-0.0527	0.723	1
3.5	0.6063	0.02059	0.01021	-0.0521	0.705	1
3.75	0.6315	0.02081	0.0105	-0.0512	0.6846	1
4	0.6573	0.021	0.01074	-0.0503	0.6642	1
4.25	0.684	0.02115	0.01093	-0.0493	0.644	1
4.5	0.7078	0.02143	0.01129	-0.0481	0.6208	1
4.75	0.7332	0.02162	0.0115	-0.047	0.5979	1
5	0.756	0.02191	0.01184	-0.0455	0.5712	1
5.25	0.7784	0.02218	0.01216	-0.044	0.5423	1
5.5	0.7999	0.02248	0.01247	-0.0423	0.5106	1
5.75	0.8205	0.02283	0.01279	-0.0405	0.4764	1
6	0.8393	0.02326	0.01322	-0.0386	0.4371	1
6.25	0.8562	0.02378	0.01366	-0.0364	0.3899	1
6.5	0.871	0.02449	0.01416	-0.0342	0.3336	1
6.75	0.8846	0.02549	0.01487	-0.032	0.2729	1
7	0.8971	0.02683	0.01586	-0.0301	0.2178	1
7.25	0.9094	0.0284	0.01715	-0.0283	0.1759	1
7.5	0.9226	0.03001	0.01861	-0.0266	0.1485	1
7.75	0.9365	0.03162	0.02013	-0.0249	0.1303	1
8	0.9511	0.03319	0.02166	-0.0234	0.1167	1
8.25	0.9664	0.0347	0.02319	-0.0219	0.1062	1
8.5	0.9851	0.03627	0.0249	-0.0206	0.099	1
8.75	1.0044	0.03789	0.0266	-0.0195	0.0935	1
9	1.0257	0.03967	0.02851	-0.0186	0.0884	1
9.25	1.0445	0.04141	0.03046	-0.0176	0.0827	1
9.5	1.0645	0.04332	0.03231	-0.0169	0.0785	1
9.75	1.0844	0.04573	0.03509	-0.0159	0.0756	1
10.25	1.1105	0.05035	0.04033	-0.0133	0.0687	1
10.5	1.1254	0.0528	0.04278	-0.0125	0.0659	1
10.75	1.1283	0.05603	0.04647	-0.0105	0.0644	1
11	1.124	0.05936	0.05026	-0.0082	0.0629	1
11.25	1.1143	0.06264	0.0539	-0.0058	0.0615	1
11.5	1.1019	0.06617	0.05773	-0.0039	0.0603	1
11.75	1.0869	0.07008	0.06191	-0.0029	0.0594	1
12	1.0684	0.07464	0.06672	-0.0028	0.0589	1
12.25	1.0444	0.08032	0.07265	-0.0043	0.0589	1
12.5	1.0122	0.08797	0.08054	-0.0079	0.0596	1
12.75	0.9747	0.09801	0.09076	-0.0141	0.061	1
