Alpha	Cl	Cd	Cdp	Cm	Top_Xtr	Bot_Xtr
0	0.2582	0.0126	0.00519	-0.0587	0.863	1
0.25	0.2867	0.01256	0.00506	-0.0586	0.848	1
0.5	0.3148	0.01254	0.00496	-0.0584	0.8324	1
0.75	0.3424	0.01252	0.00488	-0.0581	0.8162	1
1	0.3697	0.01253	0.00481	-0.0577	0.7994	1
1.25	0.3969	0.01255	0.00476	-0.0572	0.7824	1
1.5	0.4233	0.0126	0.00476	-0.0566	0.7644	1
1.75	0.4493	0.01268	0.00478	-0.056	0.7456	1
2	0.4754	0.01278	0.00482	-0.0553	0.7267	1
2.25	0.5014	0.01289	0.00488	-0.0546	0.7078	1
2.5	0.5273	0.01303	0.00494	-0.054	0.6889	1
2.75	0.5526	0.01319	0.00508	-0.0532	0.6686	1
3	0.5779	0.01336	0.00521	-0.0525	0.6485	1
3.25	0.6033	0.01356	0.00534	-0.0517	0.6286	1
3.5	0.6282	0.01377	0.00554	-0.051	0.6074	1
3.75	0.6531	0.01401	0.00573	-0.0502	0.586	1
4	0.6776	0.01426	0.00594	-0.0493	0.5631	1
4.25	0.7017	0.01453	0.00616	-0.0484	0.5381	1
4.5	0.7254	0.01482	0.00641	-0.0474	0.5112	1
4.75	0.749	0.01513	0.00668	-0.0465	0.4843	1
5	0.7721	0.01547	0.00699	-0.0455	0.4539	1
5.25	0.7935	0.01589	0.00726	-0.0442	0.4118	1
5.5	0.8139	0.01641	0.00757	-0.0429	0.3591	1
5.75	0.834	0.01705	0.00797	-0.0416	0.3065	1
6	0.8542	0.01775	0.0085	-0.0405	0.2573	1
6.25	0.8733	0.01862	0.00912	-0.0393	0.2071	1
6.5	0.8916	0.01962	0.00986	-0.038	0.1598	1
6.75	0.9098	0.02067	0.0107	-0.0368	0.1232	1
7	0.9281	0.02169	0.01164	-0.0355	0.1013	1
7.25	0.9462	0.02272	0.01263	-0.0341	0.0883	1
7.5	0.9639	0.02375	0.01367	-0.0327	0.0798	1
7.75	0.9816	0.02476	0.01476	-0.0313	0.0738	1
8	0.9992	0.02576	0.01581	-0.0299	0.0685	1
8.25	1.0151	0.02693	0.01701	-0.0284	0.0645	1
8.5	1.0329	0.028	0.01822	-0.027	0.0615	1
8.75	1.0501	0.02916	0.01947	-0.0256	0.0587	1
9	1.0666	0.03036	0.0207	-0.0242	0.0559	1
9.25	1.0829	0.0318	0.02217	-0.0229	0.0533	1
9.5	1.101	0.03312	0.02369	-0.0217	0.0509	1
9.75	1.1181	0.03451	0.02527	-0.0204	0.0485	1
10	1.1333	0.03586	0.02669	-0.0191	0.0461	1
10.25	1.1484	0.03764	0.02846	-0.018	0.0439	1
10.5	1.1629	0.03946	0.03056	-0.0166	0.0422	1
10.75	1.1744	0.04128	0.03267	-0.0149	0.0402	1
11	1.1824	0.043	0.03461	-0.0129	0.0383	1
11.25	1.1894	0.04479	0.03655	-0.011	0.0368	1
11.5	1.1961	0.04679	0.03867	-0.0093	0.0357	1
11.75	1.2005	0.04945	0.04144	-0.0077	0.0345	1
12	1.1949	0.0521	0.04448	-0.0053	0.0336	1
12.25	1.1871	0.05512	0.04786	-0.0035	0.0326	1
12.5	1.1776	0.05846	0.0515	-0.0023	0.0318	1
12.75	1.1663	0.06218	0.0555	-0.0017	0.0311	1
13	1.1527	0.06644	0.06002	-0.0019	0.0307	1
13.25	1.1362	0.07139	0.06523	-0.003	0.0304	1
13.5	1.1164	0.07721	0.0713	-0.0051	0.0303	1
13.75	1.0921	0.08427	0.07861	-0.0086	0.0303	1
14	1.0615	0.09324	0.08783	-0.014	0.0306	1
14.25	1.0213	0.1054	0.10023	-0.0221	0.0312	1
14.5	0.97	0.1226	0.11756	-0.0334	0.0326	1
